0;-60;20;40;0;0;-25;50;0;-100
40;-100;20;-40;2;-20;-80;20;0;-200
-40;0;0;220;-1;80;180;100;240;-100
-120;-80;-60;-60;3;-60;20;-20;40;-100
-20;100;40;200;-3;40;60;60;0;200
100;80;20;240;0;60;80;60;180;0
40;20;40;-80;1;25;-125;0;-200;300
60;-60;-20;-80;0;-40;-100;-33;100;0
0;160;80;180;-1;-20;-60;-40;-20;100
60;60;80;40;0;0;-60;-20;-40;200
40;-80;0;-40;1;0;0;40;60;0
20;80;60;220;-3;20;40;20;180;300
-40;-180;-60;-140;-1;20;80;40;20;100
-60;-80;40;40;1;75;125;100;250;0
20;120;-20;220;0;-20;0;0;40;300
0;-100;-20;-80;-2;40;20;75;175;100
60;-140;40;60;0;20;-140;40;-60;-100
-80;-280;-40;-20;3;-20;-20;-40;20;400
60;60;80;-60;0;-50;-150;-100;0;-100
20;200;0;120;0;-25;-25;50;-50;0
-60;-20;20;80;-1;20;40;60;80;-100
40;-20;20;140;0;0;-60;-20;0;200
-80;0;-20;200;1;-20;-40;20;-20;100
-100;20;-80;20;1;-40;0;60;80;100
-40;-140;0;20;0;-40;-80;0;40;0
-20;20;40;40;0;0;-20;-25;-75;0
0;-60;0;60;0;-20;-140;0;-80;-100
-80;80;-80;20;2;40;-20;40;20;200
60;60;20;280;-1;100;180;80;200;100
-60;-100;20;0;0;20;-20;20;-100;100
60;-100;80;200;-3;-60;-100;0;-100;200
0;-40;-40;60;-1;40;40;75;100;100
20;-40;0;100;1;-20;-80;0;0;100
0;0;100;180;2;-66;-66;-100;0;-100
-20;-20;20;40;0;40;-20;20;-120;-300
-60;-120;0;-20;0;-40;-60;40;40;0
-40;-100;-40;-100;1;0;-40;-40;20;100
0;20;-20;20;0;0;-120;-40;-160;0
-40;80;-40;100;0;-20;120;-50;100;-200
-20;80;60;120;-1;0;0;60;200;0
60;100;120;100;1;60;120;40;80;0
0;-60;-20;0;0;0;33;100;200;200
-20;0;40;160;0;-20;-20;66;33;200
40;80;-40;0;-1;20;60;40;80;-100
-60;-100;-20;20;0;-20;-20;-20;20;0
